ablation,run,epoch,train_loss,val_loss,train_acc,val_acc,ema_val_acc,total_time_seconds
no_label_smooth,2,5,1.085,1.1206,0.8809,0.8693,,37.1732
no_label_smooth,2,6,1.0752,1.0623,0.8945,0.9006,,43.3636
no_label_smooth,2,7,1.0,1.037,0.9395,0.9142,,49.5637
no_label_smooth,2,8,0.9795,1.0131,0.9434,0.9266,,55.7759
no_label_smooth,2,9,0.9541,0.9981,0.9609,0.933,,61.9483
no_label_smooth,2,10,0.9194,0.9943,0.9824,0.9344,0.9406,68.1406
no_label_smooth,2,11,0.9121,0.9917,0.9844,0.9365,0.9427,74.3417
no_label_smooth,3,0,1.5107,1.4322,0.6348,0.6999,,6.2132
no_label_smooth,3,1,1.3242,1.474,0.752,0.678,,12.4046
no_label_smooth,3,2,1.1895,1.2725,0.8418,0.7787,,18.5783
no_label_smooth,3,3,1.127,1.1954,0.8652,0.8258,,24.7461
no_label_smooth,3,4,1.0879,1.1024,0.9082,0.8837,,30.9104
no_label_smooth,3,5,1.0615,1.0934,0.9043,0.8876,,37.0695
no_label_smooth,3,6,1.0352,1.0615,0.918,0.8993,,43.2403
no_label_smooth,3,7,1.0205,1.0487,0.9277,0.9054,,49.4139
no_label_smooth,3,8,1.002,1.0173,0.9355,0.923,,55.5868
no_label_smooth,3,9,0.9414,0.9952,0.9648,0.9363,,61.7622
no_label_smooth,3,10,0.9053,0.9899,0.9922,0.9374,0.9423,67.9381
no_label_smooth,3,11,0.9126,0.991,0.9922,0.9354,0.9424,74.1106
label_smooth_05,1,0,1.5273,1.3656,0.6309,0.7311,,6.1818
label_smooth_05,1,1,1.1973,1.3581,0.8398,0.7329,,12.3393
label_smooth_05,1,2,1.2109,1.2456,0.8242,0.7935,,18.4958
label_smooth_05,1,3,1.1738,1.1707,0.8477,0.847,,24.6578
label_smooth_05,1,4,1.0732,1.1374,0.9023,0.8633,,30.8231
label_smooth_05,1,5,1.0615,1.0782,0.8945,0.8929,,36.9863
label_smooth_05,1,6,1.0303,1.0623,0.9238,0.9011,,43.1554
label_smooth_05,1,7,1.0088,1.0283,0.9316,0.918,,49.3414
label_smooth_05,1,8,0.9927,1.019,0.9395,0.9247,,55.5273
label_smooth_05,1,9,0.9565,0.9947,0.959,0.936,,61.7142
label_smooth_05,1,10,0.9277,0.9906,0.9727,0.9386,0.9421,67.908
label_smooth_05,1,11,0.9111,0.9894,0.9922,0.9372,0.9433,74.1185
label_smooth_05,2,0,1.5684,1.4304,0.5957,0.7142,,6.2311
label_smooth_05,2,1,1.2617,1.3824,0.7852,0.7197,,12.451
label_smooth_05,2,2,1.1709,1.1739,0.8516,0.8393,,18.6869
label_smooth_05,2,3,1.165,1.1523,0.8496,0.8548,,24.9176
label_smooth_05,2,4,1.1123,1.1428,0.8789,0.8584,,31.1395
label_smooth_05,2,5,1.0908,1.1352,0.8848,0.8619,,37.3751
label_smooth_05,2,6,1.0664,1.06,0.8887,0.9035,,43.5992
label_smooth_05,2,7,1.0322,1.0349,0.9277,0.915,,49.7973
label_smooth_05,2,8,0.9741,1.0191,0.9629,0.9223,,55.9917
label_smooth_05,2,9,0.9395,0.9967,0.9648,0.9348,,62.1763
label_smooth_05,2,10,0.9263,0.9912,0.9746,0.9377,0.9431,68.3781
label_smooth_05,2,11,0.9194,0.9886,0.9824,0.9392,0.9464,74.5686
label_smooth_05,3,0,1.5049,1.345,0.6348,0.7543,,6.2344
label_smooth_05,3,1,1.2158,1.2725,0.8262,0.7894,,12.461
label_smooth_05,3,2,1.2529,1.4428,0.8047,0.6845,,18.6936
label_smooth_05,3,3,1.123,1.1333,0.8789,0.8617,,24.9135
label_smooth_05,3,4,1.126,1.111,0.8848,0.8726,,31.1254
label_smooth_05,3,5,1.0908,1.0838,0.8789,0.8883,,37.3376
label_smooth_05,3,6,1.0303,1.0573,0.9258,0.9036,,43.5561
label_smooth_05,3,7,1.0312,1.0364,0.9219,0.9144,,49.7722
